movie_name,evaluate,describe,introduce,serial_number,star
爆裂鼓手,275109人评价,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,2014/美国/剧情音乐,171,8.6
被解救的姜戈,297829人评价,热血沸腾，那个低俗、性感的无耻混蛋又来了。,2012/美国/剧情动作西部冒险,172,8.6
未麻的部屋,118036人评价,好的剧本是，就算你猜到了结局也猜不到全部。,1997/日本/动画奇幻惊悚,173,8.8
头脑特工队,274556人评价,愿我们都不用长大，每一座城堡都能永远存在。,2015/美国/喜剧动画冒险,174,8.7
浪潮,151604人评价,世界离独裁只有五天。,2008/德国/剧情惊悚,175,8.7
罗生门,147682人评价,人生的N种可能性。,1950/日本/犯罪剧情悬疑,176,8.7
朗读者,304348人评价,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,2008/美国德国/剧情爱情,177,8.5
香水,314577人评价,一个单凭体香达到高潮的男人。,2006/德国法国西班牙美国/剧情犯罪奇幻,178,8.4
阿飞正传,243191人评价,王家卫是一种风格，张国荣是一个代表。,1990/香港/犯罪剧情爱情,179,8.5
你的名字。,583209人评价,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,2016/日本/剧情爱情动画,180,8.4
可可西里,148372人评价,坚硬的信仰。,2004/中国大陆香港/剧情犯罪,181,8.7
房间,187317人评价,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,2015/爱尔兰加拿大英国美国/剧情家庭,182,8.8
恐怖游轮,380371人评价,不要企图在重复中寻找已经失去的爱。,2009/英国澳大利亚/剧情悬疑惊悚,183,8.4
模仿游戏,298881人评价,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,2014/英国美国/剧情传记战争同性,184,8.6
一次别离,149561人评价,只有有信仰的人才能说出事实真相。,2011/伊朗法国/剧情家庭,185,8.7
一个叫欧维的男人决定去死,151408人评价,惠及一生的美丽。,2015/瑞典/剧情,186,8.8
战争之王,195406人评价,做一颗让别人需要你的棋子。,2005/美国法国/剧情犯罪,187,8.6
追随,93236人评价,诺兰的牛逼来源于内心散发出的恐惧。,1998/英国/犯罪悬疑惊悚,188,8.9
忠犬八公物语,74254人评价,养狗三日，便会对你终其一生。,1987/日本/剧情,189,9.0
撞车,194667人评价,天使与魔鬼的冲撞。,2004/美国德国/犯罪剧情,190,8.6
魔女宅急便,226595人评价,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,1989/日本/动画奇幻冒险,191,8.5
地球上的星星,98995人评价,天使保护事件始末。,2007/印度/剧情儿童家庭,192,8.9
完美陌生人,248796人评价,来啊，互相伤害啊！,2016/意大利/剧情喜剧,193,8.6
谍影重重,221630人评价,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,2002/美国德国捷克/动作悬疑惊悚,194,8.5
牯岭街少年杀人事件,124484人评价,弱者送给弱者的一刀。,1991/台湾/剧情犯罪,195,8.8
谍影重重2,184097人评价,谁说王家卫镜头很晃？,2004/美国德国/动作悬疑惊悚,196,8.6
哪吒闹海,96995人评价,想你时你在闹海。,1979/中国大陆/冒险动画奇幻,197,8.9
青蛇,258252人评价,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,1993/香港/剧情奇幻古装,198,8.5
惊魂记,98817人评价,故事的反转与反转，分裂电影的始祖。,1960/美国/悬疑惊悚恐怖,199,8.9
梦之安魂曲,126570人评价,一场没有春天的噩梦。,2000/美国/剧情,200,8.7
小萝莉的猴神大叔,204186人评价,宝莱坞的萝莉与大叔。,2015/印度/剧情喜剧动作,201,8.5
黑客帝国3：矩阵革命,182565人评价,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,2003/美国澳大利亚/动作科幻,202,8.6
再次出发之纽约遇见你,202352人评价,爱我就给我看你的播放列表。,2013/美国/喜剧爱情音乐,203,8.5
海街日记,166051人评价,是枝裕和的家庭习作。,2015/日本/剧情家庭,204,8.7
新龙门客栈,215280人评价,嬉笑怒骂，调风动月。,1992/香港中国大陆/剧情动作武侠古装,205,8.5
东京物语,60350人评价,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,1953/日本/剧情家庭,206,9.2
步履不停,105425人评价,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,2008/日本/剧情家庭,207,8.8
终结者2：审判日,162445人评价,少见的超越首部的续集，动作片中的经典。,1991/美国法国/动作科幻,208,8.6
源代码,454932人评价,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,2011/美国加拿大/科幻悬疑惊悚,209,8.4
无敌破坏王,216941人评价,迪士尼和皮克斯拿错剧本的产物。,2012/美国/喜剧动画奇幻冒险,210,8.7
绿里奇迹,122628人评价,天使暂时离开。,1999/美国/犯罪剧情奇幻悬疑,211,8.7
初恋这件小事,528816人评价,黑小鸭速效美白记。,2010/泰国/剧情喜剧爱情,212,8.3
末路狂花,119177人评价,没有了退路，只好飞向自由。,1991/美国法国/犯罪剧情惊悚,213,8.7
城市之光,52989人评价,永远的小人物，伟大的卓别林。,1931/美国/喜剧剧情爱情,214,9.2
寻梦环游记,587811人评价,,2017/美国/喜剧动画奇幻音乐,215,9.0
秒速5厘米,347385人评价,青春就是放弃和怀念。,2007/日本/动画剧情爱情,216,8.3
爱在午夜降临前,136332人评价,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,2013/美国/剧情爱情,217,8.8
无耻混蛋,251684人评价,昆汀同学越来越变态了，比北野武还杜琪峰。,2009/美国德国/剧情犯罪,218,8.5
疯狂的石头,366310人评价,中国版《两杆大烟枪》。,2006/中国大陆香港/喜剧犯罪,219,8.3
这个男人来自地球,208340人评价,科幻真正的魅力不是视觉效果能取代的。 ,2007/美国/剧情科幻,220,8.5
勇闯夺命岛,158961人评价,类型片的极致。 ,1996/美国/动作冒险,221,8.6
碧海蓝天,114993人评价,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。,1988/法国美国意大利/剧情爱情,222,8.7
E.T. 外星人,176969人评价,生病的E.T.皮肤的颜色就像柿子饼。,1982/美国/剧情科幻,223,8.5
变脸,239369人评价,当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,1997/美国/动作科幻犯罪惊悚,224,8.4
卡萨布兰卡,140062人评价,世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。,1942/美国/剧情爱情战争,225,8.6
发条橙,206699人评价,我完全康复了。,1971/英国美国/犯罪剧情科幻,226,8.5
黄金三镖客,59674人评价,最棒的西部片。,1966/意大利西班牙西德/冒险西部,227,9.1
海盗电台,179887人评价,生命不止，摇滚不死。,2009/英国德国法国/剧情喜剧音乐,228,8.6
彗星来的那一夜,217651人评价,小成本大魅力。,2013/美国英国/科幻悬疑惊悚,229,8.4
美国丽人,207562人评价,每个人的内心都是深不可测的大海。 ,1999/美国/剧情爱情家庭,230,8.5
